Datetime,close,high,low,open,volume,EMA_8,EMA_13,EMA_21,Supertrend,VWAP,RSI,Parabolic_SAR,Trend_Long,Trend_Short,MACD,MACD_Signal,Time,Buy_Signal,Sell_Signal,EMA Crossed for sell,EMA Crossed for buy,MACD Indication,Buy_Confirmed,Sell_Confirmed,Square_Off,Entry_Price,Exit_Price,Profit/Loss
2025-02-17 09:15:00,498.04998779296875,499.0,477.54998779296875,484.45001220703125,0,498.04998779296875,498.04998779296875,498.04998779296875,1,,,,False,False,,,09:15:00,False,False,False,False,Sell,False,False,False,,,
2025-02-17 09:20:00,500.6000061035156,501.5,497.3500061035156,498.70001220703125,838938,498.6166585286458,498.4142761230469,498.2818076393821,1,499.81667073567706,,,True,False,,,09:20:00,True,False,False,True,Sell,False,False,False,,,
2025-02-17 09:25:00,499.29998779296875,505.79998779296875,497.0,500.6000061035156,656869,498.76850947627315,498.54080636160717,498.3743694715264,1,500.20457256052015,,497.0,False,False,,,09:25:00,True,False,False,True,Sell,False,False,False,,,
2025-02-17 09:30:00,497.1499938964844,499.6000061035156,494.29998779296875,499.25,566796,498.40883934743124,498.34211886658966,498.26306260106804,1,499.32854619223144,,,False,False,,,09:30:00,False,False,False,True,Sell,False,False,False,,,
2025-02-17 09:35:00,501.5,503.79998779296875,495.8500061035156,497.25,586516,499.095763936891,498.7932447427912,498.55732963733453,1,499.5620760342584,,,True,False,,,09:35:00,False,False,False,True,Sell,False,False,False,,,
2025-02-17 09:40:00,505.5,505.79998779296875,500.25,501.3999938964844,567576,500.51892750647073,499.75135263667823,499.18848148848593,1,500.31866639278076,,494.29998779296875,True,False,,,09:40:00,False,False,False,True,Sell,False,False,False,,,
2025-02-17 09:45:00,505.0,507.8999938964844,502.3999938964844,505.3999938964844,511491,501.5147213939217,500.5011594028671,499.71680135316905,1,500.9746441328474,,494.52998779296877,True,False,,,09:45:00,False,False,False,True,Sell,False,False,False,,,
2025-02-17 09:50:00,498.20001220703125,505.29998779296875,497.5,505.0,493998,500.7781193523905,500.1724240891763,499.57891143079286,1,500.89961039383024,,495.0647880371094,False,False,,,09:50:00,False,False,False,True,Sell,False,False,False,,,
2025-02-17 09:55:00,503.25,504.3999938964844,497.70001220703125,498.25,382201,501.32742616297037,500.61207779072254,499.9126467552662,1,500.97296667676295,,495.5781962714844,True,False,,,09:55:00,False,False,False,True,Sell,False,False,False,,,
2025-02-17 10:00:00,499.54998779296875,503.5,498.54998779296875,503.45001220703125,261139,500.9324398585256,500.4603506481863,499.87967775869373,1,500.94937054676245,,496.0710681764844,False,False,,,10:00:00,False,False,False,True,Sell,False,False,False,,,
