Stock,Signal,Timestamp,Price,EMA5,EMA20,RSI,MACD,MACD Signal
ADANIENT.NS,SELL,2025-02-24 12:00:00+05:30,2122.14990234375,2126.040280229322,2126.680660587444,43.78917158232863,0.27954886320776495,0.46602775569542226
ADANIENT.NS,SELL,2025-02-24 15:15:00+05:30,2112.800048828125,2117.028981171163,2118.24021614522,41.48628124279873,-0.0855792688676047,0.1621006122169874
ADANIENT.NS,SELL,2025-02-25 13:50:00+05:30,2146.5,2148.0881540998544,2148.1164869001987,49.56920763442305,2.220436331552264,3.433970666392644
ADANIENT.NS,SELL,2025-02-27 11:50:00+05:30,2127.14990234375,2130.0733804726697,2130.9447074854943,44.81209235011938,-0.02840014523917489,0.20299085918374335
ADANIENT.NS,SELL,2025-02-28 12:05:00+05:30,2096.0,2096.9971106177127,2097.0059936628977,48.93425725883453,0.12693066489919147,0.14768001205156386
ADANIENT.NS,SELL,2025-02-28 12:40:00+05:30,2091.449951171875,2095.888553559066,2097.2414047400016,44.32887617987476,-0.1539098926632505,0.3213601959960366
ADANIENT.NS,SELL,2025-02-28 15:20:00+05:30,2092.10009765625,2094.642913441703,2095.3430923687556,45.98446661690104,0.1797106578092098,0.41723239180380334
ADANIPORTS.NS,SELL,2025-02-24 12:05:00+05:30,1076.0999755859375,1077.2818005188376,1077.471301469812,45.932759259493594,0.09334670220800945,0.10020009196938338
ADANIPORTS.NS,SELL,2025-02-25 11:30:00+05:30,1076.8499755859375,1079.3724293640332,1080.0584618762164,42.697082263934156,0.7861515519223303,1.5711961860341073
ADANIPORTS.NS,SELL,2025-02-25 13:50:00+05:30,1084.449951171875,1085.8613340370075,1086.0628608256675,46.884838101063615,1.0276044387896945,1.663896893542337
ADANIPORTS.NS,SELL,2025-02-27 13:50:00+05:30,1078.699951171875,1078.9510785795937,1079.0311904585392,49.927248211456345,0.5494636299711146,0.9169852427306396
ADANIPORTS.NS,SELL,2025-02-27 15:20:00+05:30,1076.75,1078.5442307908322,1078.7578502886713,40.44573010360663,0.09383992031621347,0.19873870791794096
ADANIPORTS.NS,SELL,2025-02-28 12:00:00+05:30,1075.0,1075.7055165460115,1075.8595058968745,48.55454954268553,0.4947098843929325,0.8624099708803228
ADANIPORTS.NS,SELL,2025-02-28 12:30:00+05:30,1074.550048828125,1075.1948074502202,1075.4172367594947,48.20872304869668,0.038684555678628385,0.2739237694955564
APOLLOHOSP.NS,SELL,2025-02-21 12:35:00+05:30,6331.0498046875,6339.809778265775,6341.034542385314,43.341097058711725,2.304301812509948,3.420649661534215
APOLLOHOSP.NS,SELL,2025-02-21 15:05:00+05:30,6313.2998046875,6325.453664150755,6327.932602070245,39.563754485311904,0.785096178366075,1.7037333592060135
APOLLOHOSP.NS,SELL,2025-02-24 15:15:00+05:30,6250.64990234375,6253.073187709018,6253.819489164646,43.3027451440824,-0.4157328529818187,-0.29565019020360733
APOLLOHOSP.NS,SELL,2025-02-25 12:45:00+05:30,6246.2001953125,6251.343838686566,6251.371514860373,43.28329527613214,0.9987393956043888,1.329648791076565
APOLLOHOSP.NS,SELL,2025-02-25 12:55:00+05:30,6249.75,6251.102795492641,6251.32724071124,48.41456414423412,0.7172941818544132,1.1507352478038502
APOLLOHOSP.NS,SELL,2025-02-25 14:10:00+05:30,6251.5,6252.009799626147,6252.125795880762,49.34607146887011,0.31299903093076864,0.5427275715618919
APOLLOHOSP.NS,SELL,2025-02-25 15:25:00+05:30,6240.0,6248.076433949615,6249.694554564963,38.68778322304575,-0.7451766245185354,-0.49894386442625926
APOLLOHOSP.NS,SELL,2025-02-28 09:15:00+05:30,6105.0,6157.611028303196,6174.824544461524,21.915832081666426,-5.281633757223062,-0.6478379226396966
ASIANPAINT.NS,SELL,2025-02-21 12:45:00+05:30,2250.60009765625,2254.7461127548504,2254.7528213217247,44.71846937796138,2.3433872875825728,3.308741164524664
ASIANPAINT.NS,SELL,2025-02-24 09:25:00+05:30,2251.14990234375,2252.8727506513706,2252.883521926803,47.624074355012176,1.0713975878015845,1.432388237068746
ASIANPAINT.NS,SELL,2025-02-24 12:00:00+05:30,2253.050048828125,2254.5931268339664,2254.6732434558785,47.072333004075674,0.9059367422919422,1.3446642124219834
ASIANPAINT.NS,SELL,2025-02-25 10:40:00+05:30,2249.949951171875,2251.6097131092374,2251.7271349986318,45.83007129344969,0.7003636590111455,1.0485030244949374
ASIANPAINT.NS,SELL,2025-02-27 12:30:00+05:30,2214.0,2218.023140208299,2218.4195117817826,39.806335680728274,0.07587179651090992,0.08786351532002473
ASIANPAINT.NS,SELL,2025-02-28 09:20:00+05:30,2201.550048828125,2207.556781343709,2208.9828160840284,35.96623966205092,-0.2656475667572522,-0.14703707294967688
ASIANPAINT.NS,SELL,2025-02-28 15:05:00+05:30,2176.85009765625,2185.198009217897,2187.7745290069693,34.75988648256988,-0.2322538074949989,0.5064057481684395
AXISBANK.NS,SELL,2025-02-21 12:50:00+05:30,1009.25,1010.7938250585497,1011.3442569646401,39.994257102711224,-0.18505409041483745,-0.1478560037504485
AXISBANK.NS,SELL,2025-02-24 14:05:00+05:30,1006.7000122070312,1007.7000059953368,1007.8338742431275,46.226236952824685,0.42142317381035355,0.7230295420283144
AXISBANK.NS,SELL,2025-02-25 09:15:00+05:30,1007.9000244140625,1009.2377570763655,1009.3533174192241,45.491243389180724,0.4555568916443917,0.7077664022674388
AXISBANK.NS,SELL,2025-02-25 12:50:00+05:30,1003.1500244140625,1003.7643264918904,1003.8677829287845,46.624451473264585,0.16566164445043796,0.25323547050066264
